,0
Consensus_S,0.11767474561929703
Change_F,0.11587893962860107
Change_N,0.11447203904390335
Change_G,0.1141793355345726
Change_V,0.1139536127448082
Consensus_H,0.11379533261060715
Consensus_R,0.11331427842378616
Change_Y,0.11202109605073929
Change_T,0.11012991517782211
Consensus_V,0.10987551510334015
Consensus_I,0.1091051772236824
Change_C,0.10851562023162842
Change_H,0.10810945183038712
Change_A,0.10697020590305328
Change_D,0.10656984895467758
Consensus_D,0.10607361048460007
Change_Q,0.10566270351409912
Consensus_G,0.10525277256965637
Change_L,0.10464431345462799
Consensus_L,0.10410633683204651
Consensus_M,0.10410633683204651
Change_I,0.10406705737113953
Consensus_E,0.10242306441068649
Change_R,0.09838306903839111
Consensus_F,0.09697744250297546
Consensus_Y,0.09574899077415466
Consensus_W,0.09237976372241974
Consensus_A,0.09105457365512848
Change_S,0.08755641430616379
Consensus_C,0.08752250671386719
Consensus_P,0.08673415333032608
Consensus_T,0.08296433091163635
Change_M,0.08219623565673828
Consensus_K,0.08015447109937668
Change_W,0.07870424538850784
Change_X,0.07866314053535461
Change_E,0.0737481638789177
Consensus_N,0.07009704411029816
Change_K,0.04358595609664917
Consensus_Q,0.03848884254693985
Domain_Transmemberane-domain-17,0.019214149564504623
Domain_phosphorylation-site-2,0.01793316751718521
Domain_Transmemberane-domain-5,0.017693955451250076
Domain_Interaction-with-NEDD4-NEDD4L-WWP2,0.017231769859790802
Change_P,0.013222279958426952
Domain_Transmemberane-domain-21,0.012581783346831799
Domain_Transmemberane-domain-9,0.012048741802573204
Domain_Transmemberane-domain-20,0.010069730691611767
Domain_Transmemberane-domain-2,0.010023316368460655
Domain_GPHH,0.009046237915754318
Domain_Transmemberane-domain-10,0.009007927030324936
Domain_Interaction-with-FGF13,0.008357935585081577
Domain_Transmemberane-domain-24,0.00793513748794794
Domain_phosphorylation-site-7,0.007501631043851376
Domain_phosphorylation-site-6,0.005618867464363575
Domain_Transmemberane-domain-15,0.004650919232517481
Domain_Transmemberane-domain-18,0.004475134424865246
Domain_Transmemberane-domain-13,0.0030706815887242556
Domain_phosphorylation-site-3,0.0028160102665424347
Domain_phosphorylation-site-12,0.0021771774627268314
Domain_Methylation-2,0.0017548276809975505
Domain_Transmemberane-domain-3,0.0017151727806776762
Domain_Transmemberane-domain-6,0.0014330731937661767
Domain_Transmemberane-domain-1,0.0007144736591726542
Domain_Transmemberane-domain-16,0.00038322346517816186
Domain_Transmemberane-domain-19,0.0003049479564651847
Domain_phosphorylation-site-14,-0.000439777213614434
Domain_Transmemberane-domain-11,-0.0005758925108239055
Domain_phosphorylation-site-1,-0.0018347648438066244
Domain_phosphorylation-site-13,-0.0026590770576149225
Domain_phosphorylation-site-11,-0.0028914734721183777
Domain_Transmemberane-domain-14,-0.003071348648518324
Domain_phosphorylation-site-5,-0.0036323738750070333
Domain_Na_channel_gate,-0.003779907012358308
Domain_Transmemberane-domain-7,-0.004016434773802757
Domain_Transmemberane-domain-8,-0.004161125514656305
Domain_Transmemberane-domain-12,-0.0045180171728134155
Domain_Methylation-1,-0.004956803750246763
Domain_phosphorylation-site-4,-0.006049671676009893
Domain_Methylation-3,-0.007383073680102825
Consensus_X,-0.008716033771634102
Domain_phosphorylation-site-8,-0.010259694419801235
Domain_Transmemberane-domain-22,-0.010767019353806973
Domain_phosphorylation-site-9,-0.011777493171393871
Domain_phosphorylation-site-10,-0.011828942224383354
Domain_Sodium-ion-transport,-0.012382691726088524
Domain_Transmemberane-domain-4,-0.013922776095569134
Domain_Transmemberane-domain-23,-0.014051483012735844
Conservation,-0.0243896022439003
Position,-0.031119178980588913
